2024-05-23 18:33:47 INFO  :25 - Google Cloud homepage opened
2024-05-23 18:44:23 INFO  :25 - Google Cloud homepage opened
2024-05-23 19:12:41 INFO  :25 - Google Cloud homepage opened
2024-05-23 20:50:19 INFO  :25 - Google Cloud homepage opened
2024-05-23 20:51:22 INFO  :25 - Google Cloud homepage opened
2024-05-23 20:53:12 INFO  :24 - Google Cloud homepage opened
2024-05-23 20:53:24 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (dc431d51-745d-4db8-9c1d-ae39e73649b2)] -> xpath: //div[@jsname='Ohx1pb']]
2024-05-23 20:53:25 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (dc431d51-745d-4db8-9c1d-ae39e73649b2)] -> xpath: //div[@jsname='Ohx1pb']]clicked
2024-05-23 20:53:25 INFO  :37 - Search request + 'Google Cloud Pricing Calculator' sent
2024-05-23 20:53:26 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (dc431d51-745d-4db8-9c1d-ae39e73649b2)] -> xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]]
2024-05-23 20:53:30 INFO  :50 - Web element Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]'clicked
2024-05-23 20:53:30 INFO  :26 - Google Cloud Pricing Calculator page opened
2024-05-23 20:53:30 INFO  :35 - [[FirefoxDriver: firefox on windows (dc431d51-745d-4db8-9c1d-ae39e73649b2)] -> xpath: //c-wiz[1]//button] clicked
2024-05-23 20:53:31 INFO  :35 - [[FirefoxDriver: firefox on windows (dc431d51-745d-4db8-9c1d-ae39e73649b2)] -> xpath: //div[h2/text()='Compute Engine']] clicked
2024-05-23 21:14:02 INFO  :24 - Google Cloud homepage opened
2024-05-23 21:14:07 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (9918b624-fe1f-40cf-a666-a65873c217de)] -> xpath: //div[@jsname='Ohx1pb']]
2024-05-23 21:14:07 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (9918b624-fe1f-40cf-a666-a65873c217de)] -> xpath: //div[@jsname='Ohx1pb']]clicked
2024-05-23 21:14:08 INFO  :37 - Search request + 'Google Cloud Pricing Calculator' sent
2024-05-23 21:14:09 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (9918b624-fe1f-40cf-a666-a65873c217de)] -> xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]]
2024-05-23 21:14:11 INFO  :50 - Web element Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]'clicked
2024-05-23 21:14:11 INFO  :26 - Google Cloud Pricing Calculator page opened
2024-05-23 21:14:11 INFO  :35 - [[FirefoxDriver: firefox on windows (9918b624-fe1f-40cf-a666-a65873c217de)] -> xpath: //c-wiz[1]//button] clicked
2024-05-23 21:14:12 INFO  :35 - [[FirefoxDriver: firefox on windows (9918b624-fe1f-40cf-a666-a65873c217de)] -> xpath: //div[h2/text()='Compute Engine']] clicked
2024-05-23 21:14:37 INFO  :24 - Google Cloud homepage opened
2024-05-23 21:14:41 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (4ac40dca-eab3-414a-84ae-e24bdfc6bc85)] -> xpath: //div[@jsname='Ohx1pb']]
2024-05-23 21:14:42 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (4ac40dca-eab3-414a-84ae-e24bdfc6bc85)] -> xpath: //div[@jsname='Ohx1pb']]clicked
2024-05-23 21:14:42 INFO  :37 - Search request + 'Google Cloud Pricing Calculator' sent
2024-05-23 21:14:43 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (4ac40dca-eab3-414a-84ae-e24bdfc6bc85)] -> xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]]
